date,Regime_1,Regime_2,Most_Likely
2003-06-30,0.8773236309854161,0.1226763690145844,0
2003-07-31,0.00027842612759897123,0.9997215738724018,1
2003-08-31,0.9930150820042113,0.006984917995788323,0
2003-09-30,0.9999961527317258,3.847268275170006e-06,0
2003-10-31,0.9998504352745394,0.00014956472546170038,0
2003-11-30,0.9999705690418017,2.943095819985276e-05,0
2003-12-31,0.9792485903074237,0.020751409692576918,0
2004-01-31,0.999974377709858,2.5622290141173368e-05,0
2004-02-29,0.989789967711294,0.01021003228870679,0
2004-03-31,0.9974439864563901,0.002556013543609152,0
2004-04-30,0.9992010962865718,0.0007989037134294694,0
2004-05-31,0.9894745038797497,0.010525496120249642,0
2004-06-30,0.18731032462891248,0.8126896753710878,1
2004-07-31,0.997568262465689,0.0024317375343126495,0
2004-08-31,0.9988366324111849,0.0011633675888163514,0
2004-09-30,0.9976662699661809,0.0023337300338182815,0
2004-10-31,0.9995135988271732,0.00048640117282730685,0
2004-11-30,0.9998885150651797,0.0001114849348190974,0
2004-12-31,0.9968241254748759,0.0031758745251243346,0
2005-01-31,0.992725078163092,0.00727492183690647,0
2005-02-28,0.9999986408090855,1.3591909132506676e-06,0
2005-03-31,0.9999561327409168,4.3867259081607424e-05,0
2005-04-30,0.9953099176020653,0.004690082397935763,0
2005-05-31,0.999999810148559,1.8985144222349611e-07,0
2005-06-30,0.9993565795243814,0.0006434204756172871,0
2005-07-31,0.9982366781169117,0.0017633218830893718,0
2005-08-31,0.9999952010218366,4.7989781618940865e-06,0
2005-09-30,0.999999963870011,3.6129986740512806e-08,0
2005-10-31,0.004357394380554867,0.995642605619445,1
2005-11-30,0.9993512480879527,0.000648751912047708,0
2005-12-31,0.9992089038284828,0.0007910961715165191,0
2006-01-31,0.9964557140253347,0.0035442859746662963,0
2006-02-28,0.7808791385765392,0.21912086142346016,0
2006-03-31,0.9999911785813641,8.821418635566204e-06,0
2006-04-30,0.9946034122045024,0.00539658779549714,0
2006-05-31,0.9987479238806514,0.0012520761193484072,0
2006-06-30,0.9947517237647638,0.005248276235235504,0
2006-07-31,0.999786944424294,0.0002130555757044905,0
2006-08-31,0.986691805386606,0.013308194613395564,0
2006-09-30,0.9918656513078201,0.00813434869217845,0
2006-10-31,0.9978238107289856,0.0021761892710151797,0
2006-11-30,0.9883665764956053,0.011633423504393064,0
2006-12-31,0.999331593614891,0.0006684063851102995,0
2007-01-31,0.9915756963383882,0.00842430366161145,0
2007-02-28,0.9662547966083006,0.03374520339169945,0
2007-03-31,0.9991835030679225,0.0008164969320784554,0
2007-04-30,0.9979587556165778,0.0020412443834231637,0
2007-05-31,0.9996456944074349,0.0003543055925662205,0
2007-06-30,0.9986064851593011,0.001393514840699292,0
2007-07-31,0.9971506653952011,0.002849334604799668,0
2007-08-31,0.08516969660681926,0.9148303033931817,1
2007-09-30,0.9999999970686098,2.931391972019965e-09,0
2007-10-31,0.9999997805859514,2.1941404731159888e-07,0
2007-11-30,1.0574080804284262e-07,0.9999998942591921,1
2007-12-31,0.9957156836889925,0.004284316311007237,0
2008-01-31,0.003941888474944999,0.9960581115250536,1
2008-02-29,0.9992886519171582,0.0007113480828405982,0
2008-03-31,1.7338439530661845e-14,0.9999999999999822,1
2008-04-30,0.9895781570137993,0.010421842986202285,0
2008-05-31,8.974429539736935e-05,0.9999102557046021,1
2008-06-30,0.004770806600339602,0.9952291933996615,1
2008-07-31,0.004089578080727343,0.9959104219192757,1
2008-08-31,0.999882482640961,0.00011751735904133897,0
2008-09-30,1.5067799666574541e-06,0.9999984932200318,1
2008-10-31,9.878203083490593e-26,1.0,1
2008-11-30,6.423440922638787e-69,1.0,1
2008-12-31,1.6252946461761763e-30,1.0,1
2009-01-31,2.733312486076838e-137,1.0,1
2009-02-28,3.0075213259698567e-115,1.0,1
2009-03-31,0.9999882198299184,1.1780170080189125e-05,0
2009-04-30,0.9978943740531963,0.002105625946804792,0
2009-05-31,2.151550605543547e-12,0.999999999997847,1
2009-06-30,0.9992442102714982,0.0007557897285019889,0
2009-07-31,0.8333590479842458,0.16664095201575294,0
2009-08-31,0.9997518236110149,0.00024817638898626157,0
2009-09-30,2.6447158790944665e-07,0.9999997355284117,1
2009-10-31,1.0013194307107e-15,1.0,1
2009-11-30,0.9922591484392506,0.007740851560749264,0
